,username,no_review,review_list,no_product,product_dict,mean_rating
11693,leothkitteh,1,[nan],1,{'3488e53a-046f-48a5-bccb-ee3acffc749a': 1},5.0
11694,leovt1979,1,['Performance: yet to try\nYet to open up. Hopefully is ok'],1,{'5407f33f-02df-4f64-91ec-339e7c6ddcce': 1},4.0
11695,leowchoonhuat,1,['The products come with 2 USB receivers & charging cables. Tested the product. It working well. The keyboard USB receiver can detect both keyboard & mouse. For mouse USB receiver it only detect the mouse but not keyboard. May be the seller can verify this. Keyboard and mouse feel is good.'],1,{'06784e1a-c950-4ffe-b94c-39ef24144617': 1},5.0
11696,leqh6qlhrj49z_yplykoga8xh576,1,['Fast delivery and value for money'],1,{'3d5b8065-9ebf-42c6-9e1c-d7e403367331': 1},5.0
11697,leroyng962,1,[nan],1,{'a508cc79-0d69-4a98-aa2c-03261dda2698': 1},5.0
11698,leroyteh069,1,[nan],1,{'f4472980-2692-4909-8d9c-12e321400c85': 1},5.0
11699,leseulflux,1,[nan],1,{'65639934-5108-4e46-813b-02dcf1ff72ca': 1},3.0
11700,leslie987,2,"['Performance: unsure\nBest Feature(s): clicky\nValue For Money: yes\nSuper clicky. Not sure if my colleagues will hate me if i use this i office.', 'Value For Money: yes\nBest Feature(s): mechanial\nPerformance: average\nDeliver took a week.not too loud to use in office.']",2,"{'75a0ba9f-2c37-4ce4-b9ca-f5d4b97c1924': 1, '9bfe3373-1fef-4500-88ab-3a6a50137c25': 1}",5.0
11701,leslieeeeng,1,[nan],1,{'3488e53a-046f-48a5-bccb-ee3acffc749a': 1},5.0
11702,leslieongsweehong,1,[nan],1,{'3488e53a-046f-48a5-bccb-ee3acffc749a': 1},5.0
11703,leslietan95,1,['The keyboard and mouse are not silent at all'],1,{'5f63d3b2-b961-456b-85ee-5e0632032759': 1},1.0
11704,lester2011,1,"[""Performance: Good feel when typing.\nValue For Money: Yes\nBest Feature(s): Smooth typing and it's Bluetooth.\nPrompt delivery and good value.""]",1,{'234ee2e0-83eb-4416-b21e-a5316fb18996': 1},5.0
11705,lester679,2,"['Delivered in 3 days, working well as expected. Good buy.', nan]",2,"{'8f2d2018-fbd0-4aab-aca9-b0cb2bbdd840': 1, '95b73f4a-1e51-4e4e-94f1-ad68c55889c2': 1}",5.0
11706,lesterctf,1,[nan],1,{'03e4b789-11d8-40ce-870f-fd99891b3c40': 1},5.0
11707,leticia_ning,1,[nan],1,{'d19cf120-93e6-4f1c-89c2-2b18187139cb': 1},4.0
11708,leumast,1,[nan],1,{'234ee2e0-83eb-4416-b21e-a5316fb18996': 1},5.0
11709,leungkaikin,1,[nan],1,{'1f06b4aa-18c7-4c2c-a94d-6ee16ea6b3e8': 1},5.0
11710,levelpoapao,1,[nan],1,{'1be323a9-4bd1-4bf4-8470-4af8e4133ddb': 1},5.0
11711,levinaaa.a,1,['Love it love it love it so much! \n\nMouse is a little stiff to click but prolly cuz its new. Delivery was super fast. Within 2 days.'],1,{'d19cf120-93e6-4f1c-89c2-2b18187139cb': 1},5.0
11712,levinchia,1,[nan],1,{'b5271e82-df08-496b-a32b-f9bacd211b9a': 1},5.0
11713,levine432,1,['Very good'],1,{'ffd204e4-8711-489a-9ca6-0796527b776f': 1},5.0
11714,lew_nyet_mee,1,['Value For Money: reasonable\nPerformance: good feel while typing\nBest Feature(s): keys\nGood feeling while typing …'],1,{'d19cf120-93e6-4f1c-89c2-2b18187139cb': 1},5.0
11715,lewhow,1,[nan],1,{'b5271e82-df08-496b-a32b-f9bacd211b9a': 1},5.0
11716,lewiszac,1,['Performance: good\nBest Feature(s): good\nValue For Money: good\nDelivery fast and item receive well.'],1,{'95b73f4a-1e51-4e4e-94f1-ad68c55889c2': 1},5.0
11717,lewjunxi2005,1,['10-Oct'],1,{'3811758c-4d35-4f3d-83a3-06a049bb202c': 1},5.0
11718,lexho69,1,"['Fast delivery, receive good.... Thank you!']",1,{'b5271e82-df08-496b-a32b-f9bacd211b9a': 1},5.0
11719,lexnchris777,1,[nan],1,{'95b73f4a-1e51-4e4e-94f1-ad68c55889c2': 1},5.0
11720,lexusguo,1,[nan],1,{'ebe48f12-6730-4798-bfc8-9e19b756276d': 1},5.0
11721,leyenthu001,1,[nan],1,{'9bfe3373-1fef-4500-88ab-3a6a50137c25': 1},5.0
11722,leyiloh,1,[nan],1,{'1f06b4aa-18c7-4c2c-a94d-6ee16ea6b3e8': 1},5.0
11723,leynanii,1,[nan],1,{'d96dfe56-d77b-4add-b3a2-1b84cbb30543': 1},5.0
11724,lfong83,1,['Good'],1,{'8f2d2018-fbd0-4aab-aca9-b0cb2bbdd840': 1},5.0
11725,lgee16,1,"['Seller is accommodating. Keyboard is in good condition,, perfect for beginners ']",1,{'c705be11-b815-44a5-9001-5f949c89c587': 1},5.0
11726,lgjxs,1,[nan],1,{'3488e53a-046f-48a5-bccb-ee3acffc749a': 1},5.0
11727,lgx81,1,"['Plug n play normally, comes with batteries also. Delivery was fast, ordered on 3 Mar, delivered on 5 Mar. Thank you seller.']",1,{'c85e68dc-cd67-4947-a0ef-ed3e725d144d': 1},5.0
11728,lh.evelee,1,[nan],1,{'65639934-5108-4e46-813b-02dcf1ff72ca': 1},5.0
11729,lhanster,1,['FAST DELIVERY. VALUE FOR MONEY. GOOD QUALITY. GOOD EXPERIENCE ALL IN ALL. THANK YOU SO MUCH SELLER!!!!'],1,{'3d5b8065-9ebf-42c6-9e1c-d7e403367331': 1},5.0
