,reviewee,reviewer,reviewer_identity,review_date,review_star,Amazing chat,review,Goes the extra mile,Knows their stuff,Unique listings,Easygoing buyer,Fast and decisive
80,jeankini,lai.k.yau,seller,7 years ago,5.0,0.0,Genuine and friendly buyer. Thanks for support!,0.0,0.0,0.0,0.0,0.0
81,jeankini,focus.tac,buyer,7 years ago,5.0,0.0,Prompt delivery! Great seller to deal with! The item received is what I expected👍👍👍,0.0,0.0,0.0,0.0,0.0
82,jeankini,thatstreetstall,seller,7 years ago,5.0,0.0,Great buyer to deal with! Very decisive and quick response. Very friendly as well! 😊,0.0,0.0,0.0,0.0,0.0
83,jeankini,shirl5,buyer,7 years ago,5.0,0.0,Excellent seller! Fast in response and friendly! Item was in good condition. Thanks for the smooth deal! :),0.0,0.0,0.0,0.0,0.0
84,jeankini,chinoir,seller,7 years ago,5.0,0.0,"Great buyer to deal with! Pleasant transaction! Speedy, communicative, decisive, responsive, cooperative. A pleasure to deal with. Highly recommended Buyer.",0.0,0.0,0.0,0.0,0.0
85,jeankini,blackgreenwhite,seller,8 years ago,5.0,0.0,"A sincere and decisive buyer! Thank you for the smooth transaction, hope to deal with you again! :)",0.0,0.0,0.0,0.0,0.0
86,jeankini,taokaenoi,seller,8 years ago,5.0,0.0,Prompt payment. Sincere buyer.,0.0,0.0,0.0,0.0,0.0
87,jeankini,juswink,seller,8 years ago,5.0,0.0,Very prompt payment. No fuss. Thanks.,0.0,0.0,0.0,0.0,0.0
88,jeankini,dollymehmeh,buyer,8 years ago,5.0,0.0,Prompt delivery! Thank you!,0.0,0.0,0.0,0.0,0.0
89,jeankini,hellothereyou1,buyer,8 years ago,5.0,0.0,"Great seller, super accommodating and item as described :)",0.0,0.0,0.0,0.0,0.0
90,lifenotsimple.poh,autumnz1,seller,7 months ago,5.0,0.0,Thanks for the purchase. Punctual buyer 👍👍👍nice to deal with.,0.0,0.0,0.0,1.0,1.0
91,lifenotsimple.poh,10111,buyer,8 months ago,5.0,0.0,Responsive and nice dealer :) will definitely deal again.👍,0.0,0.0,0.0,0.0,0.0
92,lifenotsimple.poh,kopintoast,buyer,9 months ago,5.0,0.0,Hassle free transaction. Great seller to deal with. Fast replies.,1.0,0.0,0.0,0.0,0.0
93,lifenotsimple.poh,sb8693,buyer,9 months ago,5.0,1.0,Thanks for the trade 😊,0.0,0.0,0.0,0.0,0.0
94,lifenotsimple.poh,slothpotato,buyer,10 months ago,5.0,1.0,Fuss free and friendly seller. Pleasure to deal with :) Item I bought from her came with free courier delivery which I received it the very next day :) The item was also very well protected with bubble wrap :) thank you 😊,1.0,0.0,1.0,0.0,0.0
95,lifenotsimple.poh,dingboy,seller,1 year ago,5.0,0.0,Understanding and amazing buyer,0.0,0.0,0.0,1.0,0.0
96,lifenotsimple.poh,jeankini,buyer,1 year ago,5.0,0.0,Seller wrap the item very well!,1.0,0.0,0.0,0.0,0.0
97,lifenotsimple.poh,.kay.yee.,buyer,1 year ago,5.0,0.0,fast and easy transaction 👍🏻,0.0,0.0,0.0,0.0,0.0
98,lifenotsimple.poh,sunflowerdome_,buyer,1 year ago,5.0,0.0,item was packed nicely and delivery was fast! seller was very responsive too. thank you!,0.0,0.0,0.0,0.0,0.0
99,lifenotsimple.poh,xaen24,buyer,1 year ago,5.0,0.0,"Fuss free transaction with a very genuine and patient seller. Items came well packed and were in mint condition! Thank you so much, hope to deal with you again!",0.0,0.0,0.0,0.0,0.0
100,lifenotsimple.poh,truefalse,seller,1 year ago,5.0,0.0,Smooth transaction,0.0,0.0,0.0,0.0,0.0
101,lifenotsimple.poh,zeeanne,buyer,2 years ago,5.0,0.0,"Patient seller, thanks for the item!",0.0,0.0,0.0,0.0,0.0
102,lifenotsimple.poh,homesweet.home,buyer,2 years ago,5.0,0.0,Highly recommended seller. Items received in good condition and well packed. Thanks for the smooth deal.,0.0,0.0,0.0,0.0,0.0
103,lifenotsimple.poh,the_name_start_with.j,seller,2 years ago,4.0,0.0,Thanks for purchasing! A bit late but overall is still very good!😊,0.0,0.0,0.0,0.0,0.0
104,lifenotsimple.poh,immafreeeee,buyer,2 years ago,5.0,0.0,Super friendly seller who agreed to meet at my convi and even waited for me cuz i was late >< thank you so much for the trade!,0.0,0.0,0.0,0.0,0.0
105,lifenotsimple.poh,pradapolo1,buyer,2 years ago,5.0,0.0,Seller had taken care to pack and wrap to ensure the items doesn't get folder when on delivery. Thumbs Up 👍,0.0,0.0,0.0,0.0,0.0
106,lifenotsimple.poh,maverick1955,buyer,2 years ago,5.0,0.0,Excellent and friendly seller! Thanks so much for the deal! Highly recommended.,0.0,0.0,1.0,0.0,0.0
107,lifenotsimple.poh,alittlebitofthisnthat,buyer,2 years ago,5.0,0.0,seller was so nice she walked 15mins to my door to deliver the items as it wasn't convenient for me to go out at night with my baby alone. thank you so much for packing the items nicely too!,1.0,0.0,0.0,0.0,0.0
108,lifenotsimple.poh,KrisTze,buyer,2 years ago,5.0,0.0,Thanks seller! Very accommodating! 5 stars!,0.0,0.0,0.0,0.0,0.0
109,lifenotsimple.poh,avacadostar,buyer,2 years ago,5.0,0.0,Great seller!!,0.0,0.0,0.0,0.0,0.0
110,lifenotsimple.poh,pewter,buyer,2 years ago,5.0,0.0,Fuss free and super fast delivery :),0.0,0.0,0.0,0.0,0.0
111,lifenotsimple.poh,authenticbeautysg,buyer,2 years ago,5.0,0.0,Thumbs up seller! Super responsive!,0.0,0.0,0.0,0.0,0.0
112,lifenotsimple.poh,orangecrush007,buyer,2 years ago,5.0,0.0,"Prompt response from seller, items received fast and as described. tks!",0.0,0.0,0.0,0.0,0.0
