merchant_id,name,Ratings,response rate,joined,products,response time,follower
5abdc673-7fb1-4ad0-8731-7a5b4aeb1390,Tomato SG,51k,100%,35 months ago,83,within hours,21.3k
36d1f36b-29ae-40dd-94c6-38e0973508de,Prefeerdshop.sg,4.7k,100%,31 months ago,223,within minutes,1.2k
744f1911-35d5-4d76-a607-3439d1870800,Ugreen Official Shop,190.2k,100%,5 years ago,696,within minutes,96.7k
79b5a427-ef10-4cde-9605-99bbcc1b4aec,CHUYI Official Store,6.6k,75%,4 years ago,410,within hours,1.7k
46f5e64b-9231-49f2-86ec-078123785c57,storagedrivei4.sg,333,100%,11 months ago,27,within hours,39
7e43b403-8cad-41e3-8b79-da5a4d0e7e3f,MixGear,1.3k,73%,21 months ago,323,within hours,121
d7dbf2c2-5429-4e10-9e55-d612dee214e6,js.garden,1.3k,56%,3 years ago,477,within hours,550
4715a237-15c9-4840-a8ea-55e99f0f9f5f,POPULAR Official Store,37.2k,68%,3 years ago,852,within hours,92.9k
8c2213d6-29b3-4b83-acf0-0d28c5b5b307,Logitech Official Store,74.8k,90%,5 years ago,180,within hours,173.4k
84cfb0e9-3ed9-48c7-9812-12189000883b,Leapfrog E-Store,24.7k,55%,7 years ago,203,within hours,8.3k
38f422b3-9424-4b55-a4a7-fedfc674bfcf,Smart Zheng,30.3k,100%,5 years ago,486,within minutes,7.2k
d85ee01a-c59d-4a5a-a675-a54ace43fa0f,js.garden,1.3k,56%,3 years ago,477,within hours,550
581b1510-3aa4-40b5-bd1d-a96ca21bf2fc,js.garden,1.3k,56%,3 years ago,477,within hours,550
99aba3f6-bf3f-4659-b72d-5b9633b05348,Mi TV Store,4.4k,62%,24 months ago,59,within hours,9.7k
2c3ff5ef-2d10-42cc-b6c3-6242e58ac41e,Prefeerdshop.sg,4.7k,100%,31 months ago,223,within minutes,1.2k
ca0cb00a-fa1b-4537-9616-ca6969f7a530,Can Sheng Laptop & Computer Accesso,4.7k,100%,3 years ago,256,within minutes,1.2k
582afbf4-d3c3-4a19-916c-0bbfcf2175c2,huazai,546,52%,8 years ago,31,within hours,102
a1ebcf55-3e7d-43c9-a374-41bd96d9a12b,00000.sg,1.2k,100%,29 months ago,18,within hours,254
66dd7e95-cfb1-4e87-9b0e-d305ada8e211,Cybernetics Tech Official,9.9k,94%,12 months ago,130,within hours,4.3k
