,username,no_review,review_list,no_product,product_dict,mean_rating
8624,nuratiqahbinteismail,1,['Item came quite fast. It is a described. Works well asmy current cpu jack is fried. Just plug n play. Highly recommended. '],1,{'84efd2d2-c99e-43c9-b4ee-b78d94763282': 1},5.0
8625,nurazelinnatasa,1,[nan],1,{'82e3a139-e4fc-4ad0-babe-d61cb79ab645': 1},5.0
8626,nurdiana28hardi,1,"['I received  items we’ll pack and fast delivery too.\nI like the colour,I haven try it,hopefully can work well.']",1,{'cb316a82-9106-466d-8928-985feddecc04': 1},5.0
8627,nurdiniahmatjumale,2,"[nan, nan]",2,"{'325e903d-0d31-4fad-99a2-0a3a9656df0b': 1, '746d5a0b-a354-4e30-8b0e-2a9070722840': 1}",5.0
8628,nurdwiyanti299,1,[nan],1,{'2b13bb4b-67b0-43b5-a57f-b773f789691d': 1},5.0
8629,nurfatima,1,['AMAZING quality fast delivery and authentic '],1,{'cb316a82-9106-466d-8928-985feddecc04': 1},5.0
8630,nurfayahaya,1,[nan],1,{'78b831e8-12cb-488a-a5af-32de367613ea': 1},5.0
8631,nurfazlinzailani,1,[nan],1,{'28c8363d-c8eb-4500-80e4-89a7e3baf686': 1},5.0
8632,nurhbz,1,[nan],1,{'e76f5b26-b627-41e9-a2bd-efe5c54549ea': 1},5.0
8633,nurimanhamid,1,[nan],1,{'0a96fc71-fd16-4fa0-910d-d7699a25c9bf': 1},5.0
8634,nurinsaifudin,2,"[nan, nan]",2,"{'2556feb6-256f-41bd-8e70-3c2bb5f85168': 1, 'fbd4c726-4d8e-4c90-b116-a8e6a9b7858d': 1}",4.0
8635,nurizzati2610,1,[nan],1,{'e76f5b26-b627-41e9-a2bd-efe5c54549ea': 1},5.0
8636,nurjurianabteajumain,1,[nan],1,{'746d5a0b-a354-4e30-8b0e-2a9070722840': 1},3.0
8637,nurkhasanah6487,1,[nan],1,{'78b831e8-12cb-488a-a5af-32de367613ea': 1},5.0
8638,nurliyanali,1,[nan],1,{'caae034c-ba60-4103-820f-78a880f809b9': 1},5.0
8639,nurnafeezah,1,[nan],1,{'9958c499-9833-432d-bcca-efea07f59629': 1},5.0
8640,nursarahabdullah,2,"[nan, nan]",2,"{'0a7bb5c9-9d34-4c76-b51e-7d04e9de028e': 1, 'e76f5b26-b627-41e9-a2bd-efe5c54549ea': 1}",5.0
8641,nurshabella27,1,[nan],1,{'fa5550a0-8bd0-4342-a5a5-7a1d32560742': 1},5.0
8642,nurshahidah89,1,[nan],1,{'78b831e8-12cb-488a-a5af-32de367613ea': 1},5.0
8643,nursyaf92,1,['Correct item received in a few days. Item is working fine.'],1,{'ea1fd32f-98f3-497e-9270-0d1198eda057': 1},5.0
8644,nursyafiqahmohdamin,1,[nan],1,{'325e903d-0d31-4fad-99a2-0a3a9656df0b': 1},5.0
8645,nursyahirahabdulrashid,1,[nan],1,{'189d2d31-6bf7-4db2-ab25-b78143391085': 1},5.0
8646,nursyarahllamazares,1,['Charging now bought 2 for my girls😅🤗'],1,{'9958c499-9833-432d-bcca-efea07f59629': 1},5.0
8647,nursyazwani,1,"[""Fast delivery. Received in good condition. It's so cute and light. The sound quite good. Loving it!!! ""]",1,{'9958c499-9833-432d-bcca-efea07f59629': 1},5.0
8648,nurtiyahsari,1,"[""Performance: good\nBest Feature(s): ok\nValue For Money: ok\nI buy for my freinds  thank you seller's""]",1,{'3bcb36c4-52be-42fd-b6f7-f7ebe2a1a4fa': 1},5.0
8649,nuruddin_slamat,1,['Vendor was fast but sadly the delivery was ok'],1,{'a795e313-77cb-4906-beb5-35788e1d119e': 1},4.0
8650,nurulain1401,1,['First time purchasing this item from this seller. Delivery was fast. Item was received in good condition. There was no damages. Will purchase more in future.'],1,{'9958c499-9833-432d-bcca-efea07f59629': 1},5.0
8651,nurulainx,1,['it came w a key chain as a free gift which i feel its a cute gesture to thank customer that bought their item so yea it also \nput it to the test and i think it’s a decent speaker for daily use hehe thank you !'],1,{'9958c499-9833-432d-bcca-efea07f59629': 1},5.0
8652,nurulashikin1612,1,['Thank you so much'],1,{'e6f6a937-76c3-4f91-b098-5c523b7f9df5': 1},5.0
8653,nurulatika1992,1,['Love the colour and sound is clear.'],1,{'96857c25-2f58-4396-b635-73ffadd1d942': 1},5.0
8654,nurulhudaayunam.din,1,[nan],1,{'e76f5b26-b627-41e9-a2bd-efe5c54549ea': 1},5.0
8655,nurulputeri26,1,[nan],1,{'8a674261-ee5d-4172-8e61-dade35fc8729': 1},5.0
8656,nurulrozynadia,1,"['Received in great condition, delivery is really fast too. Sunkiss cinnamon is such a pretty colour! Sound is really loud for a small speaker tbh! Thank you ♥️']",1,{'cb316a82-9106-466d-8928-985feddecc04': 1},5.0
8657,nurulsalizarohaizad,1,[nan],1,{'cb316a82-9106-466d-8928-985feddecc04': 1},5.0
8658,nurulsam3,1,[nan],1,{'8ce02988-3b99-480d-8295-670643e5cf3b': 1},5.0
8659,nurzulhuulaikaa,1,[nan],1,{'a795e313-77cb-4906-beb5-35788e1d119e': 1},5.0
8660,nusiyani,1,['Performance: item received very fast delivery'],1,{'8a674261-ee5d-4172-8e61-dade35fc8729': 1},5.0
8661,nutchanatonngern,1,[nan],1,{'9958c499-9833-432d-bcca-efea07f59629': 1},5.0
8662,nuttellaaaa,1,"['Probably received a rejected product, as the JBL print is upside down. :/']",1,{'cb316a82-9106-466d-8928-985feddecc04': 1},4.0
8663,nuuraiiinn,1,[nan],1,{'9958c499-9833-432d-bcca-efea07f59629': 1},5.0
